year,km_driven,fuel,seller_type,transmission,owner,selling_price
2011,70000,Diesel,Individual,Manual,First Owner,120000
2003,57000,Petrol,Individual,Manual,First Owner,75000
2016,120000,Diesel,Individual,Manual,First Owner,250000
2005,30000,Petrol,Individual,Manual,First Owner,100000
2013,3240,Petrol,Individual,Manual,Second Owner,280000
2015,5000,Petrol,Individual,Manual,First Owner,540000
2018,10000,Petrol,Individual,Manual,First Owner,700000
2015,100000,Diesel,Individual,Manual,First Owner,525000
2016,80000,Diesel,Individual,Manual,First Owner,430000
2002,70000,Petrol,Individual,Manual,First Owner,65000
2018,35000,Diesel,Individual,Manual,First Owner,800000
2007,114000,Petrol,Individual,Manual,Second Owner,75000
2008,53772,Petrol,Individual,Manual,First Owner,210000
2012,140000,Diesel,Individual,Manual,Second Owner,195000
2015,120000,Diesel,Individual,Manual,First Owner,400000
2012,60000,Petrol,Individual,Manual,First Owner,170000
2016,25000,Petrol,Individual,Manual,First Owner,225000
2014,90000,LPG,Individual,Manual,First Owner,210000
2020,120000,Petrol,Individual,Manual,First Owner,240000
2015,175000,Diesel,Individual,Manual,First Owner,300000
2011,100000,Petrol,Individual,Manual,Third Owner,99000
2014,36000,Petrol,Individual,Manual,First Owner,620000
2013,30000,Diesel,Individual,Manual,First Owner,500000
2010,40000,Petrol,Individual,Automatic,Second Owner,2550000
2013,70000,Petrol,Individual,Manual,Second Owner,260000
2017,60000,Petrol,Individual,Manual,First Owner,550000
2011,155500,Diesel,Individual,Manual,First Owner,150000
2011,50000,Petrol,Individual,Automatic,Second Owner,350000
2016,40000,Petrol,Individual,Manual,First Owner,320000
2015,100000,Diesel,Individual,Manual,Third Owner,400000
2012,80000,Petrol,Individual,Manual,Third Owner,175000
2011,90000,Petrol,Individual,Manual,Second Owner,120000
2013,90000,Diesel,Individual,Manual,Second Owner,320000
2006,110000,Petrol,Individual,Manual,Third Owner,70000
2019,15000,Petrol,Individual,Manual,First Owner,810000
2007,100000,Petrol,Individual,Manual,Second Owner,95000
2020,40000,CNG,Individual,Manual,First Owner,282000
2004,60000,Petrol,Individual,Manual,Second Owner,80000
2013,25000,Petrol,Individual,Manual,First Owner,72000
2016,25000,Petrol,Individual,Manual,First Owner,600000
2015,23000,Petrol,Individual,Manual,First Owner,640000
2018,22155,Petrol,Individual,Manual,First Owner,380000
2018,70000,Petrol,Individual,Manual,First Owner,650000
2009,60000,Petrol,Individual,Manual,Second Owner,150000
2009,110000,Petrol,Individual,Manual,Second Owner,280000
2018,30000,Petrol,Individual,Manual,First Owner,430000
2019,15000,Diesel,Individual,Manual,First Owner,800000
2003,100000,Diesel,Individual,Manual,Second Owner,75000
2016,70000,Diesel,Individual,Automatic,First Owner,650000
2017,24000,Petrol,Individual,Manual,First Owner,390000
2005,120000,Petrol,Individual,Manual,Second Owner,100000
2013,35000,Diesel,Individual,Automatic,First Owner,1500000
2007,78380,Petrol,Individual,Manual,First Owner,175000
2012,110000,Diesel,Individual,Manual,Second Owner,434999
2010,90000,Diesel,Individual,Manual,Third Owner,170000
2011,90000,Diesel,Individual,Manual,Third Owner,190000
2009,150000,Diesel,Individual,Manual,Third Owner,250000
2009,230000,Diesel,Individual,Manual,Third Owner,229999
2006,70000,Petrol,Individual,Manual,Third Owner,140000
2017,80362,Diesel,Individual,Manual,First Owner,600000
2012,110000,Petrol,Individual,Manual,Third Owner,280000
2012,60000,Diesel,Individual,Manual,First Owner,150000
2015,50000,Diesel,Individual,Automatic,First Owner,650000
2014,40000,Petrol,Individual,Manual,Second Owner,210000
2017,40000,Diesel,Individual,Automatic,First Owner,2900000
2013,20000,Diesel,Dealer,Manual,First Owner,425000
2014,55000,Petrol,Dealer,Manual,First Owner,265000
2018,1136,Petrol,Dealer,Manual,First Owner,890000
2013,55000,Petrol,Dealer,Manual,First Owner,365000
2014,43000,Petrol,Dealer,Manual,First Owner,350000
2016,60000,Diesel,Individual,Manual,First Owner,685000
2018,2650,Diesel,Dealer,Manual,First Owner,940000
2017,40000,Diesel,Individual,Manual,First Owner,1000000
2019,15000,Petrol,Dealer,Manual,First Owner,1150000
2016,115962,Diesel,Individual,Manual,Second Owner,450000
2015,65000,Diesel,Dealer,Manual,First Owner,590000
2017,40000,Diesel,Individual,Manual,First Owner,800000
2012,58000,Diesel,Dealer,Manual,First Owner,385000
2013,15000,Diesel,Individual,Automatic,First Owner,2000000
2012,54000,Petrol,Dealer,Manual,First Owner,235000
2017,56000,Diesel,Dealer,Manual,First Owner,640000
2006,120000,Petrol,Individual,Manual,Third Owner,52000
2009,90000,LPG,Individual,Manual,Second Owner,80000
2012,70000,Petrol,Individual,Manual,Second Owner,140000
2008,90000,Petrol,Individual,Manual,Second Owner,120000
2008,213000,Diesel,Individual,Manual,First Owner,89999
2012,120000,Diesel,Individual,Manual,First Owner,180000
2017,20000,Diesel,Individual,Manual,First Owner,1500000
2017,10000,Petrol,Individual,Manual,First Owner,700000
2012,80000,Diesel,Individual,Manual,Second Owner,285000
2015,90000,Petrol,Individual,Manual,First Owner,390000
2008,80000,Petrol,Individual,Manual,First Owner,125000
2008,60000,Petrol,Individual,Manual,Second Owner,225000
2011,139000,Petrol,Individual,Manual,Second Owner,175000
2011,160000,Diesel,Individual,Manual,Second Owner,1075000
2014,150000,Diesel,Individual,Manual,First Owner,300000
2010,163000,Diesel,Individual,Manual,Fourth & Above Owner,700000
2009,120000,Diesel,Dealer,Manual,First Owner,90000
2011,120000,Diesel,Individual,Manual,Second Owner,120000
2012,100000,Diesel,Individual,Manual,Second Owner,220000
2015,140000,Diesel,Dealer,Manual,First Owner,300000
2010,87000,Diesel,Dealer,Manual,Second Owner,180000
2013,70000,Petrol,Individual,Manual,First Owner,170000
2015,50000,Petrol,Individual,Manual,Second Owner,300000
2014,70000,Diesel,Individual,Manual,First Owner,1050000
2014,150000,Diesel,Individual,Manual,First Owner,300000
2018,25000,Diesel,Individual,Manual,First Owner,465000
2011,80000,Diesel,Individual,Manual,Second Owner,130000
2018,10000,Petrol,Individual,Manual,First Owner,434999
2018,32000,Petrol,Individual,Manual,First Owner,500000
2018,10000,Petrol,Individual,Manual,First Owner,200000
2017,52000,Petrol,Dealer,Manual,First Owner,625000
2006,120000,Diesel,Individual,Manual,Third Owner,110000
2019,11240,Petrol,Individual,Manual,First Owner,800000
2017,66000,Diesel,Dealer,Manual,First Owner,490000
2017,64000,Diesel,Dealer,Manual,First Owner,880000
2013,49000,Petrol,Individual,Manual,First Owner,290000
2006,100000,Diesel,Individual,Manual,Second Owner,115999
2018,26500,Petrol,Individual,Manual,First Owner,360000
2002,100000,Petrol,Individual,Manual,Second Owner,65000
2017,72000,Diesel,Dealer,Manual,First Owner,685000
2009,50000,Petrol,Individual,Manual,First Owner,300000
2017,44000,Diesel,Dealer,Manual,First Owner,680000
2017,60000,Diesel,Individual,Manual,Second Owner,1000000
2002,120000,Diesel,Individual,Manual,First Owner,100000
2010,130000,Diesel,Individual,Manual,First Owner,160000
2017,70000,Diesel,Individual,Manual,First Owner,450000
2014,20000,Petrol,Individual,Manual,First Owner,600000
2009,60000,Diesel,Individual,Manual,Second Owner,180000
2007,195000,Petrol,Individual,Manual,First Owner,100000
2010,90000,Petrol,Individual,Manual,Second Owner,120000
2006,80000,Petrol,Individual,Manual,Third Owner,130000
2011,155000,Petrol,Individual,Manual,First Owner,160000
2019,35000,Diesel,Individual,Manual,First Owner,860000
2018,20000,Petrol,Individual,Manual,Second Owner,650000
2010,80000,Petrol,Individual,Manual,Second Owner,100000
2017,20000,Petrol,Individual,Manual,First Owner,282000
2009,50000,Petrol,Individual,Manual,First Owner,300000
2010,110000,Petrol,Individual,Manual,Second Owner,270000
2013,29000,Diesel,Individual,Manual,First Owner,550000
2013,120000,Diesel,Individual,Manual,First Owner,450000
2011,70000,Diesel,Individual,Manual,Second Owner,430000
2013,40000,Petrol,Individual,Manual,First Owner,350000
2017,20000,Petrol,Individual,Manual,First Owner,350000
2013,50000,Petrol,Individual,Manual,Second Owner,229999
2013,50000,Petrol,Individual,Manual,First Owner,110000
2012,49000,Petrol,Individual,Manual,Second Owner,395000
2011,70000,Diesel,Individual,Automatic,Second Owner,650000
2011,90000,Diesel,Individual,Manual,Second Owner,350000
2020,25000,Diesel,Dealer,Manual,First Owner,1400000
2018,4000,Petrol,Individual,Manual,First Owner,360000
2018,10000,Diesel,Individual,Manual,First Owner,1300000
2015,15000,Diesel,Individual,Manual,First Owner,800000
2018,30000,Petrol,Individual,Manual,First Owner,229999
2014,41000,Petrol,Dealer,Manual,First Owner,315000
2012,28000,Petrol,Individual,Manual,First Owner,125000
2019,16000,Petrol,Individual,Manual,First Owner,700000
2015,70000,Petrol,Individual,Manual,First Owner,160000
2017,10832,Petrol,Dealer,Manual,First Owner,530000
2018,14681,Diesel,Dealer,Manual,First Owner,624000
2009,50000,Petrol,Individual,Manual,First Owner,250000
2016,51000,Diesel,Dealer,Manual,First Owner,585000
2015,25000,Petrol,Individual,Manual,First Owner,500000
2014,30000,Petrol,Individual,Manual,First Owner,350000
2014,80000,Diesel,Dealer,Manual,First Owner,495000
2017,50000,Petrol,Individual,Manual,First Owner,500000
2015,200000,Diesel,Individual,Manual,First Owner,430000
2013,44000,Petrol,Dealer,Manual,First Owner,345000
2015,10000,Petrol,Individual,Manual,First Owner,500000
2019,19600,Petrol,Individual,Manual,First Owner,425000
2005,40000,Petrol,Individual,Manual,Second Owner,80000
2011,50000,Diesel,Individual,Manual,First Owner,106000
2009,46730,Petrol,Individual,Manual,First Owner,180000
2015,40000,Petrol,Individual,Manual,Second Owner,250000
2011,80000,Diesel,Individual,Manual,First Owner,350000
2002,80000,Petrol,Individual,Manual,Second Owner,60000
2018,24000,Diesel,Individual,Manual,First Owner,900000
2017,21170,Diesel,Dealer,Manual,First Owner,700000
2013,167223,Diesel,Dealer,Automatic,First Owner,2000000
2017,40000,Diesel,Individual,Manual,First Owner,1000000
2011,60000,Diesel,Individual,Automatic,First Owner,1375000
2016,141440,Diesel,Dealer,Manual,First Owner,1800000
2007,120000,Diesel,Individual,Manual,Third Owner,160000
2012,140000,Petrol,Individual,Automatic,First Owner,525000
2012,212814,Diesel,Dealer,Manual,First Owner,850000
2019,30000,Diesel,Individual,Manual,First Owner,800000
2017,88635,Diesel,Dealer,Manual,First Owner,700000
2018,25000,Diesel,Individual,Manual,First Owner,800000
2017,20000,Petrol,Individual,Manual,Second Owner,575000
2012,110000,Diesel,Individual,Manual,Second Owner,350000
2008,120000,Diesel,Individual,Manual,Third Owner,250000
2011,149674,Diesel,Dealer,Manual,Second Owner,600000
2007,100000,Diesel,Individual,Manual,Third Owner,370000
2006,120000,Petrol,Individual,Manual,Third Owner,80000
2003,120000,Diesel,Individual,Manual,Second Owner,50000
2018,25000,Diesel,Individual,Manual,First Owner,900000
2014,35000,Petrol,Individual,Manual,Second Owner,300000
2002,40000,Petrol,Individual,Manual,First Owner,125000
2015,60000,Diesel,Individual,Manual,Second Owner,490000
2012,50000,Diesel,Individual,Manual,Second Owner,300000
2013,25000,Petrol,Individual,Manual,Fourth & Above Owner,55000
2016,25000,Petrol,Individual,Manual,First Owner,350000
2019,8000,Diesel,Individual,Manual,First Owner,755000
2017,60000,Diesel,Individual,Manual,First Owner,720000
2006,200000,Diesel,Individual,Manual,Third Owner,229999
2018,20000,Diesel,Individual,Manual,First Owner,1100000
2013,100000,Petrol,Individual,Manual,First Owner,400000
2015,70000,Diesel,Individual,Manual,Second Owner,350000
2012,68000,Diesel,Dealer,Manual,First Owner,159000
2017,38000,Petrol,Dealer,Manual,First Owner,550000
2013,80000,Diesel,Dealer,Manual,First Owner,335000
2014,72000,CNG,Dealer,Manual,First Owner,185000
2012,75000,CNG,Dealer,Manual,First Owner,229999
2014,43000,Petrol,Dealer,Manual,First Owner,225000
2007,120000,Petrol,Individual,Manual,Second Owner,250000
2015,100000,Diesel,Individual,Manual,First Owner,400000
2014,163000,Diesel,Individual,Manual,First Owner,470000
2018,25000,Petrol,Individual,Automatic,First Owner,300000
2011,25000,Petrol,Individual,Manual,First Owner,145000
2007,90000,Petrol,Individual,Manual,Second Owner,100000
2014,70000,Diesel,Individual,Manual,Second Owner,500000
2010,98000,CNG,Individual,Manual,Second Owner,130000
2010,81925,Diesel,Individual,Manual,First Owner,240000
2013,80000,Diesel,Individual,Manual,Second Owner,150000
2017,40000,Petrol,Individual,Manual,First Owner,270000
2014,90000,Diesel,Individual,Manual,First Owner,400000
2012,46000,Petrol,Individual,Manual,First Owner,200000
2012,80000,Diesel,Individual,Manual,First Owner,550000
2018,35000,Petrol,Individual,Manual,First Owner,325000
2017,82080,Diesel,Individual,Automatic,First Owner,860000
2012,200000,Diesel,Individual,Manual,First Owner,600000
2009,70000,Petrol,Individual,Manual,First Owner,125000
2000,40000,Petrol,Individual,Manual,Third Owner,60000
2010,120000,Diesel,Individual,Manual,Third Owner,300000
2007,60000,Petrol,Individual,Manual,Third Owner,190000
2013,110000,Diesel,Individual,Manual,First Owner,400000
2011,97000,Diesel,Individual,Manual,Second Owner,260000
2017,30000,Petrol,Individual,Manual,First Owner,400000
2010,40000,Petrol,Individual,Manual,First Owner,250000
2019,10000,Petrol,Individual,Manual,First Owner,600000
2010,52047,Petrol,Individual,Manual,First Owner,175000
2011,200000,Diesel,Individual,Manual,Third Owner,450000
2019,15000,Petrol,Individual,Automatic,Second Owner,350000
2018,50000,Diesel,Individual,Manual,First Owner,800000
2011,70000,Petrol,Individual,Manual,Second Owner,250000
2019,10000,Petrol,Individual,Manual,First Owner,600000
2017,90000,Diesel,Individual,Manual,First Owner,600000
2016,40000,Petrol,Individual,Manual,First Owner,130000
2006,62009,Petrol,Individual,Manual,Second Owner,90000
2017,33100,Petrol,Individual,Manual,Second Owner,595000
2014,40000,Petrol,Individual,Manual,Second Owner,190000
1999,120000,Petrol,Individual,Manual,Second Owner,50000
2007,80000,Petrol,Individual,Manual,First Owner,95000
2016,70000,Diesel,Individual,Manual,First Owner,1000000
2006,220000,Petrol,Individual,Manual,Second Owner,220000
2010,50000,Diesel,Individual,Manual,First Owner,400000
2015,45000,Petrol,Individual,Manual,Second Owner,315000
2014,110000,Diesel,Individual,Manual,First Owner,1000000
2014,49000,Diesel,Individual,Manual,First Owner,500000
2018,35000,Diesel,Individual,Automatic,First Owner,1600000
2017,160000,Diesel,Individual,Manual,First Owner,500000
2007,180000,Petrol,Individual,Manual,Third Owner,70000
2007,60000,Petrol,Individual,Manual,Second Owner,105000
2008,110000,Diesel,Individual,Manual,Third Owner,400000
2004,60000,Petrol,Individual,Manual,Third Owner,80000
2016,30000,Petrol,Individual,Manual,First Owner,300000
2017,40000,Diesel,Individual,Manual,First Owner,409999
2009,70000,Petrol,Individual,Manual,First Owner,250000
2010,120000,Diesel,Individual,Manual,Second Owner,250000
2012,80000,Diesel,Individual,Manual,Third Owner,215000
2015,120000,Diesel,Individual,Manual,First Owner,1400000
2018,20000,Petrol,Individual,Manual,First Owner,475000
2018,22000,Petrol,Individual,Manual,First Owner,475000
2008,35000,Petrol,Individual,Manual,Second Owner,75000
2013,120000,Diesel,Individual,Manual,Second Owner,200000
2019,8000,Petrol,Individual,Manual,First Owner,575000
2011,40000,Diesel,Individual,Manual,Second Owner,150000
2018,10000,Diesel,Individual,Manual,First Owner,850000
2019,30000,Petrol,Individual,Manual,First Owner,350000
2011,54000,Diesel,Individual,Manual,Second Owner,550000
2017,80577,Petrol,Individual,Manual,First Owner,330000
2017,25000,Diesel,Individual,Manual,First Owner,1044999
2011,127500,Diesel,Individual,Manual,Second Owner,300000
2015,40903,Petrol,Dealer,Manual,First Owner,235000
2011,60000,Petrol,Individual,Manual,Third Owner,120000
2004,46000,Petrol,Individual,Manual,First Owner,130000
2004,22288,Diesel,Dealer,Manual,Second Owner,275000
2011,180000,Diesel,Individual,Manual,Second Owner,270000
2015,30000,Diesel,Individual,Manual,Second Owner,500000
2015,61690,Petrol,Dealer,Manual,First Owner,400000
2015,64484,Petrol,Dealer,Manual,First Owner,600000
2012,90000,Diesel,Individual,Automatic,Second Owner,1350000
2013,75976,Diesel,Dealer,Manual,Second Owner,400000
2011,70000,Diesel,Individual,Manual,Second Owner,220000
2012,85962,Petrol,Dealer,Manual,Second Owner,300000
2018,120000,Petrol,Individual,Manual,First Owner,250000
2015,120000,Diesel,Individual,Manual,First Owner,600000
2012,75000,Petrol,Individual,Automatic,Second Owner,285000
2009,57035,Petrol,Dealer,Manual,First Owner,350000
2011,70000,Diesel,Individual,Manual,Third Owner,170000
2015,45000,Petrol,Individual,Manual,First Owner,229999
2013,72104,Diesel,Dealer,Manual,Second Owner,500000
2011,15000,Petrol,Individual,Manual,First Owner,75000
2016,30000,Petrol,Individual,Manual,First Owner,600000
2011,80000,Diesel,Individual,Manual,First Owner,220000
2009,164000,Diesel,Individual,Manual,Second Owner,150000
2006,124439,Petrol,Individual,Manual,Second Owner,65000
2006,77000,Petrol,Individual,Manual,Second Owner,120000
2014,90000,Diesel,Individual,Manual,First Owner,240000
2017,30000,Petrol,Individual,Manual,First Owner,390000
2012,50000,Petrol,Individual,Manual,First Owner,180000
2012,80000,Diesel,Individual,Manual,Second Owner,320000
2018,5000,Petrol,Individual,Manual,First Owner,310000
2018,24000,Petrol,Individual,Automatic,First Owner,420000
2019,10000,Petrol,Individual,Manual,First Owner,550000
2016,78000,Diesel,Individual,Manual,Third Owner,550000
2018,50000,Diesel,Individual,Manual,First Owner,760000
2001,100000,Petrol,Individual,Manual,Second Owner,43000
2018,20000,Petrol,Individual,Manual,First Owner,250000
2019,1250,Petrol,Individual,Manual,First Owner,500000
2015,17152,Petrol,Individual,Manual,First Owner,380000
2019,5000,Diesel,Individual,Automatic,First Owner,1850000
2012,77000,Diesel,Individual,Manual,First Owner,350000
2008,90000,Diesel,Individual,Manual,Second Owner,195000
2011,80000,Petrol,Individual,Manual,Second Owner,225000
2015,65000,Diesel,Individual,Manual,First Owner,1125000
2011,80000,Diesel,Individual,Manual,First Owner,133000
2013,24005,Petrol,Individual,Manual,First Owner,200000
2018,20000,Diesel,Individual,Manual,First Owner,940000
2014,120000,Diesel,Individual,Manual,First Owner,400000
2009,120000,Petrol,Individual,Manual,Second Owner,120000
2015,80000,Diesel,Individual,Manual,First Owner,625000
2005,80000,Petrol,Individual,Manual,First Owner,110000
2012,100000,Diesel,Individual,Manual,First Owner,490000
2009,120000,Petrol,Individual,Manual,Second Owner,140000
2011,149000,Diesel,Individual,Manual,Second Owner,175000
2005,65000,Petrol,Individual,Manual,Second Owner,90000
2009,100000,Diesel,Individual,Manual,Second Owner,275000
2011,65000,Diesel,Individual,Manual,Second Owner,300000
2018,19000,Petrol,Individual,Manual,Second Owner,270000
2010,80000,Petrol,Individual,Manual,Second Owner,130000
2015,30000,Petrol,Individual,Manual,First Owner,275000
2012,109000,Diesel,Individual,Manual,First Owner,352000
2012,90000,LPG,Individual,Manual,First Owner,180000
2012,90000,Petrol,Individual,Manual,First Owner,150000
2011,65000,Diesel,Individual,Manual,Second Owner,300000
2010,110000,Diesel,Individual,Manual,Second Owner,300000
2007,120000,Diesel,Individual,Manual,First Owner,225000
2014,44000,Diesel,Individual,Manual,First Owner,600000
2015,80000,Petrol,Individual,Manual,First Owner,500000
2018,5000,Petrol,Individual,Manual,First Owner,900000
2016,61000,Petrol,Individual,Manual,First Owner,600000
2011,100000,Diesel,Individual,Manual,Second Owner,450000
2009,27633,Petrol,Individual,Manual,First Owner,270000
2010,100000,Diesel,Individual,Manual,Third Owner,310000
2012,100000,LPG,Individual,Manual,First Owner,250000
2019,12586,Petrol,Dealer,Manual,First Owner,700000
2018,38083,Diesel,Dealer,Manual,First Owner,650000
2012,55328,Diesel,Dealer,Manual,First Owner,400000
2012,81632,Diesel,Dealer,Manual,First Owner,425000
2016,155201,Diesel,Dealer,Manual,First Owner,600000
